model;series;power;function;modes
fx-220; PLUS;AA;181;COMP SD
fx-220; PLUS-2;AAA;181;COMP SD
fx-300;W;Sol;229;COMP SD REG
fx-300;MS-2;Sol;240;COMP SD REG
fx-300;ES;Sol;~229;COMP STAT TABLE
fx-300;ES PLUS;Sol;252;COMP STAT TABLE
fx-300;ES PLUS-2;Sol;252;COMP STAT TABLE
fx-82;W;AA;229;COMP SD REG
fx-85;W;Sol;~250;COMP SD REG BASE-N
fx-350;W;LR44;229;COMP SD REG
fx-911;W;Sol;229;COMP SD REG
fx-82;MS;AA;240;COMP SD REG
fx-85;MS;Sol;240;COMP SD REG
fx-300;MS;Sol;240;COMP SD REG
fx-350;MS;LR44;240;COMP SD REG
fx-82;MS-2;AAA;240;COMP SD REG
fx-85;MS-2;Sol;240;COMP SD REG
fx-350;MS-2;LR44;240;COMP SD REG
fx-82;ES;AAA;249;COMP STAT TABLE
fx-85;ES;Sol;249;COMP STAT TABLE
fx-350;ES;AAA;249;COMP STAT TABLE
fx-82;ES PLUS;AAA;252;COMP STAT TABLE
fx-85;ES PLUS;Sol;252;COMP STAT TABLE
fx-350;ES PLUS;AAA;252;COMP STAT TABLE
fx-82;ES PLUS-2;AAA;252;COMP STAT TABLE
fx-85;ES PLUS-2;Sol;252;COMP STAT TABLE
fx-350;ES PLUS-2;LR44;252;COMP STAT TABLE
fx-82;EX;AAA;274;COMP STAT TABLE
fx-85;EX;Sol;274;COMP STAT TABLE
fx-350;EX;AAA;274;COMP STAT TABLE
fx-82;CW;AAA;290+;COMP STAT TABLE MATHBOX
fx-85;CW;Sol;290+;COMP STAT TABLE MATHBOX
fx-350;CW;AAA;290+;COMP STAT TABLE MATHBOX
fx-95;MS;AA;244;COMP SD REG EQN
fx-95;MS-2;AAA;244;COMP SD REG EQN
fx-95;ES PLUS;AAA;272;COMP STAT EQN TABLE INEQ RATIO
fx-95;ES PLUS-2;AAA;274;COMP STAT EQN TABLE INEQ RATIO
fx-100;W;AA;~250;COMP CMPLX SD REG BASE-N
fx-115;W;Sol;300+;COMP CMPLX SD REG BASE-N
fx-100;MS;AA;300;COMP CMPLX SD REG BASE-N EQN
fx-115;MS;Sol;300;COMP CMPLX SD REG BASE-N EQN
fx-100;MS-2;AAA;300;COMP CMPLX SD REG BASE-N EQN
fx-115;ES;Sol;~300;COMP CMPLX STAT BASE-N EQN MAT TABLE VCT
fx-115;ES PLUS;Sol;~300;COMP CMPLX STAT BASE-N EQN MAT TABLE VCT INEQ VERIF DIST
fx-115;ES PLUS-2;Sol;~300;COMP CMPLX STAT BASE-N EQN MAT TABLE VCT INEQ VERIF DIST
fx-570;W;LR44;~400;COMP CMPLX SD REG BASE-N
fx-991;W;Sol;~400;COMP CMPLX SD REG BASE-N
fx-570;MS;LR44;401;COMP CMPLX SD REG BASE-N EQN MAT VCT
fx-991;MS;Sol;401;COMP CMPLX SD REG BASE-N EQN MAT VCT
fx-570;MS-2;AAA;401;COMP CMPLX SD REG BASE-N EQN MAT VCT
fx-991;MS-2;Sol;401;COMP CMPLX SD REG BASE-N EQN MAT VCT
fx-570;ES;AAA;403;COMP CMPLX STAT BASE-N EQN MAT TABLE VCT
fx-991;ES;Sol;403;COMP CMPLX STAT BASE-N EQN MAT TABLE VCT
fx-570;ES PLUS;AAA;417;COMP CMPLX STAT BASE-N EQN MAT TABLE VCT
fx-991;ES PLUS;Sol;417;COMP CMPLX STAT BASE-N EQN MAT TABLE VCT
fx-570;ES PLUS-2;AAA;417;COMP CMPLX STAT BASE-N EQN MAT TABLE VCT
fx-991;ES PLUS-2;Sol;417;COMP CMPLX STAT BASE-N EQN MAT TABLE VCT
fx-570;EX;AAA;552;COMP CMPLX BASE-N MAT VCT STAT DISTR S.SHEET TABLE EQN INEQ RATIO
fx-991;EX;Sol;552;COMP CMPLX BASE-N MAT VCT STAT DISTR S.SHEET TABLE EQN INEQ RATIO
fx-570;CW;AAA;540+;COMP STAT DIST S.SHEET TABLE EQN INEQ CMPLX BASE MAT VCT RATIO MATHBOX
fx-991;CW;Sol;540+;COMP STAT DIST S.SHEET TABLE EQN INEQ CMPLX BASE MAT VCT RATIO MATHBOX
