manual;series1;models1;series2;models2
https://www.casio.com/content/dam/casio/global/support/manuals/calculators/pdf/004-en/f/fx-570CW_991CW_EN.pdf;CW;570|991;;
https://www.casio.com/content/dam/casio/global/support/manuals/calculators/pdf/004-en/f/fx-82CW_85CW_350CW_EN.pdf;CW;82|85|350;;
https://www.casio.com/content/dam/casio/global/support/manuals/calculators/pdf/004-en/f/fx-115ES_991ES_EN.pdf;ES;115|991;;
https://www.casio.com/content/dam/casio/global/support/manuals/calculators/pdf/004-en/f/fx-570ES_EN.pdf;ES;570;;
https://www.casio.com/content/dam/casio/global/support/manuals/calculators/pdf/004-en/f/fx-82ES_etc_EN.pdf;ES;82|83|85|300|350;;
https://www.casio.com/content/dam/casio/global/support/manuals/calculators/pdf/004-en/f/fx-115_991ES_PLUS_C_EN.pdf;ES PLUS;115|991;;
https://www.casio.com/content/dam/casio/global/support/manuals/calculators/pdf/004-en/f/fx-300ES_PLUS_EN.pdf;ES PLUS;300;;
https://www.casio.com/content/dam/casio/global/support/manuals/calculators/pdf/004-en/f/fx-570_991ES_PLUS_EN.pdf;ES PLUS;570|991;;
https://www.casio.com/content/dam/casio/global/support/manuals/calculators/pdf/004-en/f/fx-82_85_95_350ES_PLUS_EN.pdf;ES PLUS;82|85|95|350;;
https://www.casio.com/content/dam/casio/global/support/manuals/calculators/pdf/004-en/f/fx-115ESPLUS_991ESPLUSC_EN.pdf;ES PLUS-2;115|991;;
https://www.casio.com/content/dam/casio/global/support/manuals/calculators/pdf/004-en/f/fx-300ESPLUS_EN.pdf;ES PLUS-2;300;;
https://www.casio.com/content/dam/casio/global/support/manuals/calculators/pdf/004-en/f/fx-82ESPLUS_85ESPLUS_95ESPLUS_350ESPLUS_EN.pdf;ES PLUS-2;82|85|95|350;;
https://www.casio.com/content/dam/casio/global/support/manuals/calculators/pdf/2022/mutual/fx-570ES_991ES_9910NG_PLUS_EN.pdf;ES PLUS-2;570|991;NG PLUS-2;9910
https://www.casio.com/content/dam/casio/global/support/manuals/calculators/pdf/004-en/f/fx-570_991EX_EN.pdf;EX;570|991;;
https://www.casio.com/content/dam/casio/global/support/manuals/calculators/pdf/004-en/f/fx-82_85_350EX_EN.pdf;EX;82|85|350;;
https://manuals.coolblue.nl/ed/casio-fx-82ms.pdf;MS;82|83|85|270|300|250;;
https://support.casio.com/pdf/004/fx115MS_991MS_E.pdf;MS;95;;
https://uom.lk/sites/default/files/math/files/fx100MS_115MS_570MS_991MS_EN.pdf;MS;100|115|570|991;;
https://fx-220plus.tiiny.site/fx-220PLUS.pdf;MS;82|85|300|350; PLUS;220
https://www.casio.com/content/dam/casio/global/support/manuals/calculators/pdf/004-en/f/fx-100MS_570MS_991MS_EN.pdf;MS-2;100|570|991;;
https://www.casio.com/content/dam/casio/global/support/manuals/calculators/pdf/004-en/f/fx-82MS_85MS_220PLUS_300MS_350MS_EN.pdf;MS-2;82|85|300|350; PLUS-2;220
https://www.casio.com/content/dam/casio/global/support/manuals/calculators/pdf/004-en/f/fx-95MS_500MS_EN.pdf;MS-2;95|500;;
https://support.casio.com/pdf/004/fx115W_991W_E.pdf;W;100|115|570|991;;
https://support.casio.com/pdf/004/fx85W_85WA_E.pdf;W;85|300;TL;350
https://casio.ledudu.com/images/calculs/casio/manuels/fx82w_83w_270w_350w.pdf;W;350|270|83|82;;
https://manuals.plus/m/9d38551e16cfebe57b40a2840e5d650b9a594d94be3e3bc173b515bb5c9b5c18.pdf;W;83|85|270|300|911;TL;82|350
